"day"	"cell"	"techrep"	"biorep"	"well"	"order"	"sample"	"Curve"	"b0"	"b0.se"	"A"	"A.se"	"umax"	"umax.se"	"L"	"L.se"	"RSME"	"CV"	"outlier"	"gen"
240	"nm"	1	3	"B9"	9	"NM_g1598_pop3_rep1"	"B9"	0.9368	0.00606	0.7234	0.01651	0.1227	0.00531	5.4708	0.15086	0.025	1.89	0	1598
280	"nm"	1	3	"B10"	10	"NM_g1864_pop3_rep1"	"B10"	0.9491	0.01079	0.8167	0.01434	0.1997	0.01576	6.7958	0.21015	0.0523	3.621	0	1864
1000	"jcvi"	1	3	"B11"	11	"NM_jcvi_pop3_rep1"	"B11"	0.9396	0.00593	0.788	0.00994	0.1655	0.0086	9.7124	0.15401	0.0347	2.653	0	6657
0	"nm"	2	3	"C2"	12	"NM_g0_pop3_rep2"	"C2"	0.9314	0.00531	0.8317	0.00841	0.1396	0.0048	7.6845	0.12815	0.0271	1.983	0	0
20	"nm"	2	3	"C3"	13	"NM_g133_pop3_rep2"	"C3"	0.9114	0.01438	0.7887	0.02288	0.0967	0.00726	4.482	0.36373	0.0532	3.836	0	133
40	"nm"	2	3	"C4"	14	"NM_g266_pop3_rep2"	"C4"	0.9283	0.01183	0.7713	0.01651	0.1445	0.0115	6.3485	0.27289	0.0542	3.911	1	266
60	"nm"	2	3	"C5"	15	"NM_g399_pop3_rep2"	"C5"	0.9344	0.00552	0.8144	0.01368	0.1468	0.00514	5.6106	0.11436	0.0238	1.877	0	399
100	"nm"	2	3	"C6"	16	"NM_g666_pop3_rep2"	"C6"	0.9278	0.00662	0.7392	0.00921	0.1581	0.00771	7.41	0.15047	0.0337	2.501	0	666
140	"nm"	2	3	"C7"	17	"NM_g932_pop3_rep2"	"C7"	0.9284	0.00856	0.7148	0.01116	0.1483	0.00861	5.9169	0.18349	0.0386	2.807	1	932
200	"nm"	2	3	"C8"	18	"NM_g1331_pop3_rep2"	"C8"	0.9269	0.00608	0.7541	0.00905	0.1294	0.00525	7.0779	0.14952	0.0299	2.229	0	1331
240	"nm"	2	3	"C9"	19	"NM_g1598_pop3_rep2"	"C9"	0.9291	0.00625	0.7655	0.01988	0.1347	0.00614	5.6083	0.14802	0.0262	1.997	0	1598
280	"nm"	2	3	"C10"	20	"NM_g1864_pop3_rep2"	"C10"	0.9666	0.01392	0.808	0.01762	0.2049	0.01956	6.0052	0.25222	0.0629	4.237	0	1864
1000	"jcvi"	2	3	"C11"	21	"NM_jcvi_pop3_rep2"	"C11"	0.9482	0.0067	0.798	0.01009	0.2129	0.01317	9.479	0.14931	0.0392	2.903	0	6657
